Work_Center,Operation_Short,Activity,Opr_System_status,Earl_start_date,EarliestEndDate,Station_Code,Normal_duration,Norm_duratn_un,Well_Name,Field,Responsible_asset,Well_ID,Well_Location,Well_Function,Well_Category,PCAP_Category,Move_days,PDO_Well_Type
SWERIG99,6990-11031,6990,REL,2041-04-29,2041-06-07,LEK,39.0,DAY,D-AA-WI-02,DAFIQ,NORTH,11031,D-AA-WI-02,Water Injector,Development,Category IV,1,LTL23WIUS
SWERIG99,6789-11052,6789,REL,2043-08-23,2043-09-15,LEK,23.100000381469727,DAY,UF-USJ-OP-10,UFUQ,NORTH,11052,UF-USJ-OP-10,Oil Producer,Development,Category IV,1,LTL23ESSAT
SWER117,G395-11067,G395,REL,2032-09-05,2032-09-17,USP,12.0,DAY,UF-11 EXTENSION,UFUQ,NORTH,11067,UF-11 EXTENSION,Water Injector,Development,Category IV,0,LTL23WISAT
SWERIG99,6856-11091,6856,REL,2044-04-24,2044-05-17,LEK,23.100000381469727,DAY,UF-USJ-OP-13,UFUQ,NORTH,11091,UF-USJ-OP-13,Oil Producer,Development,Category IV,1,LTL23ESSAT
SWER115,6888-11102,6888,REL,2036-12-02,2036-12-24,LEK,21.700000762939453,DAY,DAF-USAA-OP-03,DAFIQ,NORTH,11102,DAFIQ-DAF-USAA-OP-03,Oil Producer,Development,Category IV,1,LTL23ESSAT
SWERIG99,6897-11104,6897,REL,2043-09-15,2043-10-07,LEK,22.0,DAY,UF-USJ-WI-9,UFUQ,NORTH,11104,UF-USJ-WI-9,Water Injector,Development,Category IV,1,LTL23WISAT
SWERIG99,6966-11135,6966,REL,2036-06-20,2036-07-07,LEK,17.200000762939453,DAY,AS-LSV-WI-01,LEKHWAIR,NORTH,11135,LEKHWAIR-AS-LSV-WI-01,Water Injector,Development,Category IV,1,LTL23WIV
SWERIG99,4489-11168,4489,REL,2038-02-03,2038-02-25,LEK,21.799999237060547,DAY,AN-H-WI-11,LEKHWAIR AN,NORTH,11168,LEKHWAIR-AN-H-WI-11,Water Injector,Development,Category IV,1,L9723WIH
SWERIG99,6839-11171,6839,REL,2039-04-09,2039-05-01,LEK,21.799999237060547,DAY,AN-H-WI-13,LEKHWAIR,NORTH,11171,,Water Injector,Development,Category IV,1,L9723WIH
SWERIG99,6842-11173,6842,REL,2037-12-12,2037-12-29,LEK,17.799999237060547,DAY,AN-H-OP-10,LEKHWAIR AN,NORTH,11173,LEKHWAIR-AN-H-OP-10,Oil Producer,Development,Category IV,1,LTL22GSV
SWER140,6914-11180,6914,REL,2034-03-16,2034-04-08,LEK,23.0,DAY,DAF-USBB-OP-16,DAFIQ,NORTH,11180,DAFIQ-DAF-USBB-OP-16,Oil Producer,Development,Category IV,1,LTL23ESSAT
SWERIG99,6920-11185,6920,REL,2041-09-17,2041-10-27,LEK,40.0,DAY,LE-US-SFR-WI-02,LEKHWAIR EAST,NORTH,11185,LE-US-SFR-WI-02,Water Injector,Development,Category IV,1,LTL23WISAT
SWER115,4620-11222,4620,REL,2043-10-30,2043-11-15,FAH,15.899999618530273,DAY,FAHUD D F364 WI 2,FAHUD,NORTH,11222,FAHUD D F364 WI 2,Water Injector,Development,Category IV,1,FT724WID
SWERIG99,6975-11232,6975,REL,2038-09-30,2038-10-30,LEK,30.0,DAY,AS-KH-OP-01(CR),LEKHWAIR,NORTH,11232,AS-KH-OP-01(CR),Oil Producer,Development,Category IV,1,LTL23ESSAT
SWERIG99,6952-12059,6952,REL,2039-11-14,2039-12-26,LEK,41.79999923706055,DAY,DMA-LSB-OP-2,DHULAIMA,NORTH,12059,DMA-LSB-OP-2,Oil Producer,Development,Category IV,1,LTL23GN
SWERIG72,5787-12247,5787,REL,2033-02-17,2033-03-17,FAH,29.0,DAY,NIMR-1264,FAHUD,NORTH,12247,FAHUD E_OP_NWS_F3_390,Oil Producer,Development,Category IV,1,FT722GNA
SWER115,6372-12808,6372,REL,2043-10-14,2043-10-30,FAH,15.899999618530273,DAY,FAHUD D_F364_WI1,FAHUD,NORTH,12808,FAHUD D_F364_WI1,Water Injector,Development,Category IV,1,FT724WID
SWERIG72,6373-12809,6373,REL,2034-09-18,2034-10-04,FAH,15.899999618530273,DAY,FAHUD D F364 WI 3,FAHUD,NORTH,12809,,Water Injector,Development,Category IV,1,FT724WID
SWERIG72,6376-12812,6376,REL,2032-02-09,2032-02-26,FAH,16.700000762939453,DAY,FAHUD D_P87_UPDIP_2_WIS (2ND),FAHUD,NORTH,12812,FAHUD D_P87_UPDIP_2_WIS (2ND),Oil Producer,Development,Category IV,1,FT723GND
SWERIG72,6378-12814,6378,REL,2032-07-07,2032-08-04,FAH,28.0,DAY,FAHUD E_OP_NWC_F2_UPDIP,FAHUD,NORTH,12814,FAHUD E_OP_NWC_F2_UPDIP,Oil Producer,Development,Category IV,1,FT722GNA
SWERIG72,6383-12821,6383,REL,2032-08-04,2032-08-21,FAH,16.700000762939453,DAY,FAHUD C2_240_APPR,FAHUD,NORTH,12821,FAHUD C2_240_APPR,Oil Producer,Development,Category IV,1,FT722GND
SWERIG72,6384-12822,6384,REL,2033-04-20,2033-05-19,FAH,29.100000381469727,DAY,09_SHUAIBA INJECTOR,FAHUD,NORTH,12822,,Water Injector,Development,Category IV,1,FT724WIA
SWERIG99,6812-13212,6812,REL,2038-04-02,2038-04-19,LEK,17.799999237060547,DAY,AN-F-OP-33,LEKHWAIR AN,NORTH,13212,,Oil Producer,Development,Category IV,1,LTL22GSV
SWERIG99,6816-13215,6816,REL,2036-01-05,2036-01-15,LEK,10.699999809265137,DAY,AN-F-WI-10,LEKHWAIR,NORTH,13215,LEKHWAIR-AN-F-WI-10,Water Injector,Development,Category IV,1,L9723WI
SWERIG99,6817-13216,6817,REL,2039-03-29,2039-04-09,LEK,10.899999618530273,DAY,AN-F-OP-02,LEKHWAIR AN,NORTH,13216,AN-F-OP-02,Oil Producer,Development,Category IV,1,L9722GS
SWERIG99,6818-13217,6818,REL,2038-10-30,2038-11-13,LEK,14.399999618530273,DAY,AN-F-OP-52,LEKHWAIR AN,NORTH,13217,AN-F-OP-52,Oil Producer,Development,Category IV,1,L9422GS
SWERIG99,6822-13221,6822,REL,2037-11-13,2037-12-01,LEK,17.799999237060547,DAY,AN-F-OP-47,LEKHWAIR AN,NORTH,13221,LEKHWAIR-AN-F-OP-47,Oil Producer,Development,Category IV,1,LTL22GSV
SWERIG99,6825-13224,6825,REL,2037-12-01,2037-12-11,LEK,10.899999618530273,DAY,I-WI-75,LEKHWAIR AN,NORTH,13224,LEKHWAIR-I-WI-75,Water Injector,Development,Category IV,1,L9723WI
SWERIG99,6826-13225,6826,REL,2039-02-06,2039-02-17,LEK,10.899999618530273,DAY,F-OP-07,A-NORTH,NORTH,13225,F-OP-07,Oil Producer,Development,Category IV,1,L9722GS
SWERIG99,6827-13226,6827,REL,2039-02-17,2039-03-07,LEK,17.799999237060547,DAY,F-OP-41,A-NORTH,NORTH,13226,F-OP-41,Oil Producer,Development,Category IV,1,LTL22GSV
SWERIG99,6828-13227,6828,REL,2036-10-02,2036-10-13,LEK,11.0,DAY,SYH-NC-WI-25,SAYYAH,NORTH,13227,SAYYAH-SYH-NC-WI-25,Water Injector,Development,Category IV,1,L9723WIS
SWERIG99,6831-13230,6831,REL,2038-08-20,2038-09-02,LEK,13.800000190734863,DAY,F-WI-16,A-NORTH,NORTH,13230,,Water Injector,Development,Category IV,1,L9723WIC
SWERIG99,6832-13231,6832,REL,2038-09-03,2038-09-16,LEK,13.800000190734863,DAY,F-WI-23,A-NORTH,NORTH,13231,,Water Injector,Development,Category IV,1,L9723WIC
SWERIG99,6833-13232,6833,REL,2038-09-16,2038-09-30,LEK,13.800000190734863,DAY,F-OP-22,A-NORTH,NORTH,13232,,Oil Producer,Development,Category IV,1,L9723GSC
SWERIG99,6836-13235,6836,REL,2039-01-24,2039-02-06,LEK,13.800000190734863,DAY,I-OP-51,A-NORTH,NORTH,13235,,Oil Producer,Development,Category IV,1,L9723GSC
SWER115,6889-13246,6889,REL,2035-06-26,2035-07-16,LEK,20.200000762939453,DAY,UF USK-KNW-WI2,UFUQ,NORTH,13246,UFUQ-UF USK-KNW-WI2,Water Injector,Development,Category IV,1,LTL23WISAT
SWERIG99,6908-13260,6908,REL,2044-10-06,2044-11-02,LEK,27.0,DAY,UF-USJ-WI-36,UFUQ,NORTH,13260,UF-USJ-WI-36,Water Injector,Development,Category IV,1,LTL23WISAT
SWERIG99,6948-13277,6948,REL,2042-08-18,2042-10-02,LEK,44.900001525878906,DAY,TALIAH-N-USJ-OP-03,TALIAH,NORTH,13277,TALIAH-N-USJ-OP-032,Oil Producer,Development,Category IV,1,LEL23ESX
SWERIG99,6959-13282,6959,REL,2039-10-04,2039-11-14,LEK,41.20000076293945,DAY,TALN-USJ-WI-06,TALIAH,NORTH,13282,TALN-USJ-WI-06,Water Injector,Development,Category IV,1,LTL23WIUS
SWERIG99,6970-13284,6970,REL,2039-08-23,2039-10-04,LEK,41.79999923706055,DAY,TALN-USJ-OP-06,TALIAH,NORTH,13284,TALN-USJ-OP-06,Oil Producer,Development,Category IV,1,LTL23ESUS
SWERIG99,6972-13286,6972,REL,2039-07-13,2039-08-23,LEK,41.20000076293945,DAY,TALN-USJ-WI-05,TALIAH,NORTH,13286,TALN-USJ-WI-05,Water Injector,Development,Category IV,1,LTL23WIUS
SWER139,6978-13287,6978,REL,2028-03-04,2028-03-23,LEK,18.899999618530273,DAY,TALN-USJ-WI-07,TALIAH,NORTH,13287,TALN-USJ-WI-07,Water Injector,Development,Category IV,1,LTL23WIUSHN
SWERIG72,9242-13802,9242,REL,2033-07-03,2033-07-25,FAH,22.200000762939453,DAY,FAHUD G_NWS_7_F415_DD_WI,FAHUD,NORTH,13802,FAHUD G_NWS_7_F415_DD_WI,Water Injector,Development,Category IV,1,FT724WIA
SWERIG84,L996-13946,L996,REL,2027-03-16,2027-05-20,GBR,64.5,DAY,BUDNE A4C GI,BUDOUR,SOUTH,13946,BUDNE A4C GI,Oil Producer,Development,Category II,0,HT464B4
SWERIG99,9446-13996,9446,REL,2038-04-19,2038-05-04,LEK,15.0,DAY,AN-DME-OP-01,LEKHWAIR AN,NORTH,13996,AN-DME-OP-01,Oil Producer,Development,Category IV,1,LTL23ESVS
SWERIG99,9447-13997,9447,REL,2038-12-19,2039-01-05,LEK,16.899999618530273,DAY,AN-DME-OP-02,LEKHWAIR AN,NORTH,13997,AN-DME-OP-02,Oil Producer,Development,Category IV,1,LTL23ESV
SWERIG99,9454-14004,9454,REL,2044-12-02,2044-12-29,LEK,27.0,DAY,UF-USJ-WI-28,UFUQ,NORTH,14004,UF-USJ-WI-28,Water Injector,Development,Category IV,1,LTL23WISAT
SWERIG99,9455-14005,9455,REL,2044-11-02,2044-12-02,LEK,30.0,DAY,UF-USJ-OP-25,UFUQ,NORTH,14005,UF-USJ-OP-25,Oil Producer,Development,Category IV,1,LTL23ESSAT
SWERIG99,9461-14011,9461,REL,2044-06-08,2044-06-30,LEK,21.700000762939453,DAY,UF-USJ-OP-56,UFUQ,NORTH,14011,UFUQ-UF-USJ-OP-56,Oil Producer,Development,Category IV,1,LTL23ESSAT
SWERIG72,9590-14122,9590,REL,2034-02-07,2034-03-07,FAH,28.600000381469727,DAY,FAHUD G_NW_4_F363_EXT_WI2,FAHUD,NORTH,14122,,Oil Producer,Development,Category IV,1,F2L23GA1
SWER115,9745-15257,9745,REL,2043-03-26,2043-04-11,FAH,15.699999809265137,DAY,FAHUD C2_F44_EXT_430,FAHUD,NORTH,15257,FAHUD C2_F44_EXT_430,Oil Producer,Development,Category IV,1,FT723GND
SWER115,9758-15265,9758,REL,2041-05-27,2041-06-11,FAH,15.100000381469727,DAY,C2_F411_F51_TRANSITIONAL_1,FAHUD,NORTH,15265,C2_F411_F51_TRANSITIONAL_1,Oil Producer,Development,Category IV,1,FT723GND
SWERIG72,A082-15523,A082,REL,2033-04-03,2033-04-20,FAH,16.700000762939453,DAY,FAHUD C2_510_APPR,FAHUD,NORTH,15523,FAHUD C2_510_APPR,Oil Producer,Development,Category IV,1,FT723GND
SWERIG72,A098-15539,A098,REL,2032-04-05,2032-04-22,FAH,16.700000762939453,DAY,FAHUD D F361 WI 2,FAHUD,NORTH,15539,FAHUD D F361 WI 2,Water Injector,Development,Category IV,1,FT724WID
SWERIG72,A101-15542,A101,REL,2033-09-09,2033-09-25,FAH,16.700000762939453,DAY,FAHUD D_F459_WI_EXT,FAHUD,NORTH,15542,FAHUD D_F459_WI_EXT,Oil Producer,Development,Category IV,1,FT723GND
SWERIG72,A104-15545,A104,REL,2032-08-21,2032-09-12,FAH,22.200000762939453,DAY,FAHUD G_NW_5_F340_DD_WI,FAHUD,NORTH,15545,FAHUD G_NW_5_F340_DD_WI,Water Injector,Development,Category IV,1,FT724WIA
SWERIG72,A107-15548,A107,REL,2032-03-14,2032-04-05,FAH,22.200000762939453,DAY,FAHUD G_NWS_8_DD_WI,FAHUD,NORTH,15548,FAHUD G_NWS_8_DD_WI,Water Injector,Development,Category IV,1,FT724WIA
SWERIG72,BO43-15551,BO43,REL,2026-02-06,2026-02-23,FAH,17.899999618530273,DAY,FAHUD_F-772 EXTENSION_1,FAHUD,NORTH,15551,FAHUD_F-772 EXTENSION_1,Oil Producer,Development,Category IV,0,FT723GND
SWERIG72,A111-15552,A111,REL,2031-12-21,2032-01-07,FAH,16.700000762939453,DAY,FAHUD D_F87_WI_1,FAHUD,NORTH,15552,FAHUD D_F87_WI_1,Water Injector,Development,Category IV,1,FT724WID
SWER115,A112-15553,A112,REL,2041-07-17,2041-08-09,FAH,23.299999237060547,DAY,FAHUD WEST_C_WELL2,FAHUD,NORTH,15553,FAHUD WEST_C_WELL2,Oil Producer,Development,Category IV,1,FT422ES
SWERIG72,A113-15554,A113,REL,2032-01-07,2032-01-24,FAH,16.700000762939453,DAY,FAHUD D_F458_WI_EXT,FAHUD,NORTH,15554,FAHUD D_F458_WI_EXT,Water Injector,Development,Category IV,1,FT724WID
SWERIG72,A116-15557,A116,REL,2033-07-26,2033-08-11,FAH,16.700000762939453,DAY,FAHUD C2_240_1,FAHUD,NORTH,15557,FAHUD C2_240_1,Oil Producer,Development,Category IV,1,FT723GND
SWERIG72,A129-15570,A129,REL,2033-01-31,2033-02-16,FAH,16.700000762939453,DAY,FAHUD A6_F502_DUAL_500,FAHUD,NORTH,15570,FAHUD A6_F502_DUAL_500,Oil Producer,Development,Category IV,1,FT723GND
SWER115,A135-15576,A135,REL,2043-12-17,2044-01-01,FAH,15.699999809265137,DAY,FAHUD D_F454_UPDIP,FAHUD,NORTH,15576,FAHUD D_F454_UPDIP,Oil Producer,Development,Category IV,1,FT723GND
SWER115,A139-15580,A139,REL,2044-03-15,2044-03-30,FAH,15.699999809265137,DAY,FAHUD C2_F120_UPDIP_430,FAHUD,NORTH,15580,FAHUD C2_F120_UPDIP_430,Oil Producer,Development,Category IV,1,FT723GND
SWERIG72,A142-15583,A142,REL,2034-03-07,2034-03-24,FAH,16.700000762939453,DAY,FHDWEST_INFILL_DEV_02,FAHUD,NORTH,15583,FHDWEST_INFILL_DEV_02,Oil Producer,Development,Category IV,1,FT722GND
SWERIG72,A154-15588,A154,REL,2034-05-08,2034-05-25,FAH,16.700000762939453,DAY,FAHUD RENAME,FAHUD,NORTH,15588,FAHUD RENAME,Water Injector,Development,Category IV,1,FT724WID
SWERIG72,A160-15594,A160,REL,2029-03-03,2029-03-22,FAH,18.799999237060547,DAY,FAHUD C2 F416 DOWNDIP 510,FAHUD,NORTH,15594,FAHUD C2 F416 DOWNDIP 510,Oil Producer,Development,Category IV,1,FT722GND
SWERIG72,A167-15601,A167,REL,2033-06-05,2033-07-03,FAH,28.600000381469727,DAY,SHIBKAH 6_APPR (BABY SHIBKAH),SHIBKAH,NORTH,15601,SHIBKAH 6_APPR (BABY SHIBKAH),Oil Producer,Development,Category IV,1,F2L23GA1
SWERIG72,A168-15602,A168,REL,2031-11-29,2031-12-21,FAH,22.200000762939453,DAY,FAHUD A_F122_ STRK_A3,FAHUD,NORTH,15602,FAHUD A_F122_ STRK_A3,Oil Producer,Development,Category IV,1,FT723GNA
SWERIG72,A176-15610,A176,REL,2032-09-12,2032-10-04,FAH,22.0,DAY,FAHUD G_NW_5_F345_REPL_WI,FAHUD,NORTH,15610,FAHUD G_NW_5_F345_REPL_WI,Oil Producer,Development,Category IV,1,FT723GNA
SWER115,A179-15613,A179,REL,2044-02-12,2044-02-28,FAH,15.899999618530273,DAY,FAHUD D_F466_UPDIP_WI_1,FAHUD,NORTH,15613,FAHUD D_F466_UPDIP_WI_1,Water Injector,Development,Category IV,1,FT724WID
SWERIG44,A361-15798,A361,REL,2034-07-14,2034-07-31,QAS,17.700000762939453,DAY,QAS-DWDW-4,QARN ALAM,NORTH,15798,QAS-DWDW-4,Water Disposal,Development,Category III,1,QTL27WDW
SWERIG99,A366-15803,A366,REL,2041-10-27,2041-12-13,LEK,47.0,DAY,LE-US-SFR-OP-03,LEKHWAIR EAST,NORTH,15803,LE-US-SFR-OP-03,Oil Producer,Development,Category IV,1,LTL23ESPSAT
SWERIG99,A367-15804,A367,REL,2041-12-13,2042-01-21,LEK,39.0,DAY,LE-US-SFR-WI-03,LEKHWAIR EAST,NORTH,15804,LE-US-SFR-WI-03,Water Injector,Development,Category IV,1,LTL23WISAT
SWERIG99,A381-15818,A381,REL,2043-03-27,2043-04-20,LEK,24.0,DAY,MLN-SFR-WI-02,MALAAN,NORTH,15818,MLN-SFR-WI-02,Water Injector,Development,Category IV,1,LTL23WISAT
SWERIG99,A389-15826,A389,REL,2043-05-14,2043-06-08,LEK,25.399999618530273,DAY,LB-LSB-SFR-OP-01,LEKHWAIR,NORTH,15826,LB-LSB-SFR-OP-01,Oil Producer,Development,Category IV,1,LTL23ESSAT
SWERIG99,A392-15829,A392,REL,2040-04-06,2040-05-11,LEK,35.599998474121094,DAY,LB-LSA-SFR-WI-03,LEKHWAIR,NORTH,15829,LB-LSA-SFR-WI-03,Water Injector,Development,Category IV,1,LTL23WISAT
SWERIG99,A393-15830,A393,REL,2040-05-11,2040-06-16,LEK,35.599998474121094,DAY,LB-LSA-SFR-WI-04,LEKHWAIR,NORTH,15830,LB-LSA-SFR-WI-04,Water Injector,Development,Category IV,1,LTL23WISAT
SWERIG99,A394-15831,A394,REL,2040-06-16,2040-07-22,LEK,35.599998474121094,DAY,LB-LSA-SFR-WI-05,LEKHWAIR,NORTH,15831,LB-LSA-SFR-WI-05,Water Injector,Development,Category IV,1,LTL23WISAT
SWER115,A406-15843,A406,REL,2037-03-19,2037-04-10,LEK,21.700000762939453,DAY,DAF-USAA-OP-14,DAFIQ,NORTH,15843,DAFIQ-DAF-USAA-OP-14,Oil Producer,Development,Category IV,1,LTL23ESSAT
SWERIG99,A414-15851,A414,REL,2036-03-21,2036-04-05,LEK,15.300000190734863,DAY,SKR-NE-OP-07,SAKHAR,NORTH,15851,SAKHAR-SKR-NE-OP-07,Oil Producer,Development,Category IV,1,LTL23ESVS
SWERIG99,A415-15852,A415,REL,2036-04-05,2036-04-20,LEK,15.300000190734863,DAY,SKR-NE-OP-08,SAKHAR,NORTH,15852,SAKHAR-SKR-NE-OP-08,Oil Producer,Development,Category IV,1,LTL23ESVS
SWERIG99,A421-15858,A421,REL,2036-04-20,2036-05-05,LEK,15.300000190734863,DAY,SKR-NE-OP-14,SAKHAR,NORTH,15858,SAKHAR-SKR-NE-OP-14,Oil Producer,Development,Category IV,1,LTL23ESVS
SWER118,A427-15864,A427,REL,2030-05-13,2030-06-07,USP,25.0,DAY,NW-US-OP-P3-09,LEKHWAIR,NORTH,15864,LEKHWAIR-NW-US-OP-P3-09,Oil Producer,Development,Category IV,1,LTL23ESUSHN
SWER118,A428-15865,A428,REL,2030-04-18,2030-05-13,USP,25.0,DAY,NW-US-WI-P3-10,LEKHWAIR,NORTH,15865,LEKHWAIR-NW-US-WI-P3-10,Water Injector,Development,Category IV,1,LTL23WIUSHN
SWER139,A439-15876,A439,REL,2034-03-29,2034-04-18,USP,20.200000762939453,DAY,MZK-USC-WI-P4-108,LEKHWAIR,NORTH,15876,MZK-USC-WI-P4-108,Water Injector,Development,Category IV,1,LTL23WISAT
SWER139,A440-15877,A440,REL,2034-04-18,2034-05-11,USP,23.0,DAY,MZK-USC-OP-P4-109,LEKHWAIR,NORTH,15877,MZK-USC-OP-P4-109,Oil Producer,Development,Category IV,1,LTL23ESSAT
SWER139,A441-15878,A441,REL,2034-05-11,2034-05-31,USP,20.200000762939453,DAY,MZK-USC-WI-P4-110,LEKHWAIR,NORTH,15878,MZK-USC-WI-P4-110,Water Injector,Development,Category IV,1,LTL23WISAT
SWER139,A442-15879,A442,REL,2034-05-31,2034-06-23,USP,23.0,DAY,MZK-USC-OP-P4-111,LEKHWAIR,NORTH,15879,MZK-USC-OP-P4-111,Oil Producer,Development,Category IV,1,LTL23ESSAT
SWER139,A443-15880,A443,REL,2034-06-23,2034-07-13,USP,20.200000762939453,DAY,MZK-USC-WI-P4-112,LEKHWAIR,NORTH,15880,MZK-USC-WI-P4-112,Water Injector,Development,Category IV,1,LTL23WISAT
SWER139,X527-15881,X527,REL,2034-07-13,2034-08-02,USP,19.799999237060547,DAY,DM-US-OP-P1-01,LEKHWAIR,NORTH,15881,DM-US-OP-P1-01,Oil Producer,Development,Category IV,0,LTL23ESSAT
SWER139,A445-15882,A445,REL,2034-08-02,2034-08-26,USP,24.0,DAY,DM-US-WI-P1-02,LEKHWAIR,NORTH,15882,DM-US-WI-P1-02,Water Injector,Development,Category IV,1,LTL23WISAT
SWER139,A446-15883,A446,REL,2034-09-16,2034-10-11,USP,25.399999618530273,DAY,DM-US-OP-P1-03,LEKHWAIR,NORTH,15883,DM-US-OP-P1-03,Oil Producer,Development,Category IV,1,LTL23ESSAT
SWERIG72,A532-15953,A532,REL,2034-05-25,2034-06-10,FAH,15.899999618530273,DAY,FAHUD_A_F438_REPL_SI,FAHUD,NORTH,15953,FAHUD_A_F438_REPL_SI,Steam Injector,Development,Category IV,1,FT720SI
SWERIG72,A558-15976,A558,REL,2030-11-02,2030-11-20,FAH,18.899999618530273,DAY,FAHUD F_S6_OP4,FAHUD,NORTH,15976,FAHUD F_S6_OP4,Oil Producer,Development,Category IV,1,FT723GNA
SWERIG72,A561-15979,A561,REL,2033-05-19,2033-06-05,FAH,16.700000762939453,DAY,FAHUD G_NWC_6_F340_EXT_OP,FAHUD,NORTH,15979,FAHUD G_NWC_6_F340_EXT_OP,Oil Producer,Development,Category IV,1,FT723GND
SWERIG72,A711-16039,A711,REL,2034-06-10,2034-06-26,FAH,15.899999618530273,DAY,FAHUD_A_F437_REPL_SI,FAHUD,NORTH,16039,FAHUD_A_F437_REPL_SI,Steam Injector,Development,Category IV,1,FT720SI
SWERIG72,A712-16040,A712,REL,2034-06-26,2034-07-12,FAH,15.899999618530273,DAY,FAHUD_A_F441_REPL_SI,FAHUD,NORTH,16040,FAHUD_A_F441_REPL_SI,Steam Injector,Development,Category IV,1,FT720SI
SWERIG99,B111-16110,B111,REL,2043-03-04,2043-03-27,LEK,23.0,DAY,MLNB-SFR-OP-04,MALAAN,NORTH,16110,MLNB-SFR-OP-04,Oil Producer,Development,Category IV,1,LTL23ESSAT
SWERIG99,B114-16113,B114,REL,2043-04-20,2043-05-14,LEK,24.0,DAY,MLNB-SFR-WI-03,MALAAN,NORTH,16113,MLNB-SFR-WI-03,Water Injector,Development,Category IV,1,LTL23WISAT
SWER118,B117-16116,B117,REL,2030-08-26,2030-09-22,USP,27.100000381469727,DAY,INT-USC-OP-06(CR),LEKHWAIR INTRA,NORTH,16116,INT-USC-OP-06(CR),Oil Producer,Development,Category IV,1,LTL23ESSAT
SWER118,B125-16124,B125,REL,2029-07-05,2029-07-27,USP,21.700000762939453,DAY,LF-USC-OP-P3-46,LEKHWAIR-INTRA,NORTH,16124,LF-USC-OP-P3-46,Oil Producer,Development,Category IV,1,LTL23ESUSHN
